"AppellationDorigineControlee","Lait","Type","AireDeProduction","AnneeDobtentionDeLAOC","CI","Departement","Commune","AireGeographique","IDA"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74310","HAUTE-SAVOIE","Viuz-la-Chiesaz","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74311","HAUTE-SAVOIE","Viuz-en-Sallaz","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74304","HAUTE-SAVOIE","Ville-en-Sallaz","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74303","HAUTE-SAVOIE","Villaz","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74302","HAUTE-SAVOIE","Villards-sur-Thenes","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74301","HAUTE-SAVOIE","Villard","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74295","HAUTE-SAVOIE","Vernaz","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74294","HAUTE-SAVOIE","Verchaix","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74290","HAUTE-SAVOIE","Vallorcine","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74167","HAUTE-SAVOIE","ValdeChaise","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74287","HAUTE-SAVOIE","Vailly","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74286","HAUTE-SAVOIE","Vacheresse","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74284","HAUTE-SAVOIE","Tour","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74280","HAUTE-SAVOIE","Thenes","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74279","HAUTE-SAVOIE","Thollon-les-Memises","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74276","HAUTE-SAVOIE","Taninges","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74275","HAUTE-SAVOIE","Talloires-Montmin","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74273","HAUTE-SAVOIE","Sixt-Fer-e-Cheval","Chevrotin","1495"
"Chevrotin","Chèvre","Pâte pressée non cuite","Massifs du Mont-Blanc, du Chablais, des Aravis et des Bauges (Haute-Savoie et Savoie)","2002","74271","HAUTE-SAVOIE","Seytroux","Chevrotin","1495"
