CI;Departement;Commune;Airegeographique;IDA
1001;AIN;Abergement-Clemenciat;BeurredeBresse;2225
1001;AIN;Abergement-Clemenciat;CremedeBresse;2339
1001;AIN;Abergement-Clemenciat;DindedeBresse;1498
1001;AIN;Abergement-Clemenciat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1002;AIN;Abergement-de-Varey;Bugey;1597
1002;AIN;Abergement-de-Varey;BugeyCerdon;1598
1002;AIN;Abergement-de-Varey;Comte;1465
1002;AIN;Abergement-de-Varey;RoussetteduBugey;1884
1004;AIN;Amberieu-en-Bugey;Bugey;1597
1004;AIN;Amberieu-en-Bugey;Comte;1465
1004;AIN;Amberieu-en-Bugey;RoussetteduBugey;1884
1006;AIN;Ambleon;Bugey;1597
1006;AIN;Ambleon;RoussetteduBugey;1884
1007;AIN;Ambronay;Comte;1465
1008;AIN;Ambutrix;Comte;1465
1009;AIN;Andert-et-Condon;Bugey;1597
1009;AIN;Andert-et-Condon;RoussetteduBugey;1884
1010;AIN;Anglefort;BoisduJura;1739
1010;AIN;Anglefort;Bugey;1597
1010;AIN;Anglefort;Comte;1465
1010;AIN;Anglefort;RoussetteduBugey;1884
1011;AIN;Apremont;BleudeGexhautJuraouBleudeSeptmoncel;2222
1011;AIN;Apremont;BoisduJura;1739
1011;AIN;Apremont;Comte;1465
1011;AIN;Apremont;Morbier;2223
1012;AIN;Aranc;BoisduJura;1739
1012;AIN;Aranc;Comte;1465
1013;AIN;Arandas;Comte;1465
1014;AIN;Arbent;BoisduJura;1739
1014;AIN;Arbent;Comte;1465
1016;AIN;Arbigny;DindedeBresse;1498
1016;AIN;Arbigny;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1015;AIN;ArboysenBugey;Bugey;1597
1015;AIN;ArboysenBugey;RoussetteduBugey;1884
1017;AIN;Argis;BoisduJura;1739
1017;AIN;Argis;Bugey;1597
1017;AIN;Argis;Comte;1465
1017;AIN;Argis;RoussetteduBugey;1884
1019;AIN;Armix;BoisduJura;1739
1022;AIN;Artemare;BoisduJura;1739
1022;AIN;Artemare;Bugey;1597
1022;AIN;Artemare;Comte;1465
1022;AIN;Artemare;RoussetteduBugey;1884
1023;AIN;Asnieres-sur-Saene;DindedeBresse;1498
1023;AIN;Asnieres-sur-Saene;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1024;AIN;Attignat;BeurredeBresse;2225
1024;AIN;Attignat;CremedeBresse;2339
1024;AIN;Attignat;DindedeBresse;1498
1024;AIN;Attignat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1025;AIN;Bege-Dommartin;BeurredeBresse;2225
1025;AIN;Bege-Dommartin;CremedeBresse;2339
1025;AIN;Bege-Dommartin;DindedeBresse;1498
1025;AIN;Bege-Dommartin;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1026;AIN;Bege-le-Chetel;BeurredeBresse;2225
1026;AIN;Bege-le-Chetel;CremedeBresse;2339
1026;AIN;Bege-le-Chetel;DindedeBresse;1498
1026;AIN;Bege-le-Chetel;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1170;AIN;Beard-Geovreissiat;BoisduJura;1739
1170;AIN;Beard-Geovreissiat;Comte;1465
1029;AIN;Beaupont;BeurredeBresse;2225
1029;AIN;Beaupont;CremedeBresse;2339
1029;AIN;Beaupont;DindedeBresse;1498
1029;AIN;Beaupont;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1033;AIN;Bellegarde-sur-Valserine;BleudeGexhautJuraouBleudeSeptmoncel;2222
1033;AIN;Bellegarde-sur-Valserine;BoisduJura;1739
1033;AIN;Bellegarde-sur-Valserine;Comte;1465
1033;AIN;Bellegarde-sur-Valserine;Morbier;2223
1034;AIN;Belley;Bugey;1597
1034;AIN;Belley;RoussetteduBugey;1884
1035;AIN;Belleydoux;BleudeGexhautJuraouBleudeSeptmoncel;2222
1035;AIN;Belleydoux;BoisduJura;1739
1035;AIN;Belleydoux;Comte;1465
1035;AIN;Belleydoux;Morbier;2223
1031;AIN;Bellignat;BoisduJura;1739
1031;AIN;Bellignat;Comte;1465
1036;AIN;Belmont-Luthezieu;BoisduJura;1739
1036;AIN;Belmont-Luthezieu;Bugey;1597
1036;AIN;Belmont-Luthezieu;Comte;1465
1036;AIN;Belmont-Luthezieu;RoussetteduBugey;1884
1037;AIN;Benonces;Bugey;1597
1037;AIN;Benonces;Comte;1465
1037;AIN;Benonces;RoussetteduBugey;1884
1038;AIN;Beny;BeurredeBresse;2225
1038;AIN;Beny;Comte;1465
1038;AIN;Beny;CremedeBresse;2339
1038;AIN;Beny;DindedeBresse;1498
1038;AIN;Beny;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1039;AIN;Beon;BoisduJura;1739
1039;AIN;Beon;Bugey;1597
1039;AIN;Beon;Comte;1465
1039;AIN;Beon;RoussetteduBugey;1884
1040;AIN;Bereziat;BeurredeBresse;2225
1040;AIN;Bereziat;CremedeBresse;2339
1040;AIN;Bereziat;DindedeBresse;1498
1040;AIN;Bereziat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1041;AIN;Bettant;Comte;1465
1042;AIN;Bey;DindedeBresse;1498
1042;AIN;Bey;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1044;AIN;Billiat;BleudeGexhautJuraouBleudeSeptmoncel;2222
1044;AIN;Billiat;BoisduJura;1739
1044;AIN;Billiat;Comte;1465
1046;AIN;Biziat;BeurredeBresse;2225
1046;AIN;Biziat;CremedeBresse;2339
1046;AIN;Biziat;DindedeBresse;1498
1046;AIN;Biziat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1245;AIN;Bohas-Meyriat-Rignat;Bugey;1597
1245;AIN;Bohas-Meyriat-Rignat;Comte;1465
1245;AIN;Bohas-Meyriat-Rignat;RoussetteduBugey;1884
1050;AIN;Boissey;BeurredeBresse;2225
1050;AIN;Boissey;CremedeBresse;2339
1050;AIN;Boissey;DindedeBresse;1498
1050;AIN;Boissey;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1051;AIN;Bolozon;Bugey;1597
1051;AIN;Bolozon;Comte;1465
1051;AIN;Bolozon;RoussetteduBugey;1884
1053;AIN;Bourg-en-Bresse;BeurredeBresse;2225
1053;AIN;Bourg-en-Bresse;CremedeBresse;2339
1053;AIN;Bourg-en-Bresse;DindedeBresse;1498
1053;AIN;Bourg-en-Bresse;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1056;AIN;Boyeux-Saint-Jereme;BoisduJura;1739
1056;AIN;Boyeux-Saint-Jereme;Bugey;1597
1056;AIN;Boyeux-Saint-Jereme;BugeyCerdon;1598
1056;AIN;Boyeux-Saint-Jereme;Comte;1465
1056;AIN;Boyeux-Saint-Jereme;RoussetteduBugey;1884
1057;AIN;Boz;DindedeBresse;1498
1057;AIN;Boz;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1059;AIN;Brenaz;BoisduJura;1739
1059;AIN;Brenaz;Comte;1465
1060;AIN;Brenod;BoisduJura;1739
1060;AIN;Brenod;Comte;1465
1061;AIN;Brens;Bugey;1597
1061;AIN;Brens;RoussetteduBugey;1884
1063;AIN;Brion;BoisduJura;1739
1063;AIN;Brion;Comte;1465
1064;AIN;Briord;Bugey;1597
1064;AIN;Briord;BugeyMontagnieu;1600
1064;AIN;Briord;Comte;1465
1064;AIN;Briord;RoussetteduBugey;1884
1064;AIN;Briord;RoussetteduBugeyMontagnieu;1402
1065;AIN;Buellas;BeurredeBresse;2225
1065;AIN;Buellas;CremedeBresse;2339
1065;AIN;Buellas;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1067;AIN;Ceignes;BoisduJura;1739
1067;AIN;Ceignes;Comte;1465
1068;AIN;Cerdon;BoisduJura;1739
1068;AIN;Cerdon;Bugey;1597
1068;AIN;Cerdon;BugeyCerdon;1598
1068;AIN;Cerdon;Comte;1465
1068;AIN;Cerdon;RoussetteduBugey;1884
1069;AIN;Certines;BeurredeBresse;2225
1069;AIN;Certines;CremedeBresse;2339
1069;AIN;Certines;DindedeBresse;1498
1069;AIN;Certines;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1071;AIN;Cessy;BoisduJura;1739
1071;AIN;Cessy;Comte;1465
1072;AIN;Ceyzeriat;BeurredeBresse;2225
1072;AIN;Ceyzeriat;Bugey;1597
1072;AIN;Ceyzeriat;Comte;1465
1072;AIN;Ceyzeriat;CremedeBresse;2339
1072;AIN;Ceyzeriat;DindedeBresse;1498
1072;AIN;Ceyzeriat;RoussetteduBugey;1884
1072;AIN;Ceyzeriat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1073;AIN;Ceyzerieu;Bugey;1597
1073;AIN;Ceyzerieu;RoussetteduBugey;1884
1076;AIN;Chaley;BoisduJura;1739
1076;AIN;Chaley;Comte;1465
1077;AIN;Challes-la-Montagne;BoisduJura;1739
1077;AIN;Challes-la-Montagne;Comte;1465
1078;AIN;Challex;BoisduJura;1739
1079;AIN;Champagne-en-Valromey;BoisduJura;1739
1079;AIN;Champagne-en-Valromey;Comte;1465
1080;AIN;Champdor-Corcelles;BoisduJura;1739
1080;AIN;Champdor-Corcelles;Comte;1465
1081;AIN;Champfromier;BleudeGexhautJuraouBleudeSeptmoncel;2222
1081;AIN;Champfromier;BoisduJura;1739
1081;AIN;Champfromier;Comte;1465
1081;AIN;Champfromier;Morbier;2223
1082;AIN;Chanay;BoisduJura;1739
1082;AIN;Chanay;Bugey;1597
1082;AIN;Chanay;Comte;1465
1082;AIN;Chanay;RoussetteduBugey;1884
1084;AIN;Chanoz-Chetenay;BeurredeBresse;2225
1084;AIN;Chanoz-Chetenay;CremedeBresse;2339
1084;AIN;Chanoz-Chetenay;DindedeBresse;1498
1084;AIN;Chanoz-Chetenay;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1087;AIN;Charix;BleudeGexhautJuraouBleudeSeptmoncel;2222
1087;AIN;Charix;BoisduJura;1739
1087;AIN;Charix;Comte;1465
1087;AIN;Charix;Morbier;2223
1091;AIN;Chetillon-en-Michaille;BleudeGexhautJuraouBleudeSeptmoncel;2222
1091;AIN;Chetillon-en-Michaille;BoisduJura;1739
1091;AIN;Chetillon-en-Michaille;Comte;1465
1093;AIN;Chetillon-sur-Chalaronne;DindedeBresse;1498
1093;AIN;Chetillon-sur-Chalaronne;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1094;AIN;Chavannes-sur-Reyssouze;BeurredeBresse;2225
1094;AIN;Chavannes-sur-Reyssouze;CremedeBresse;2339
1094;AIN;Chavannes-sur-Reyssouze;DindedeBresse;1498
1094;AIN;Chavannes-sur-Reyssouze;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1096;AIN;Chaveyriat;BeurredeBresse;2225
1096;AIN;Chaveyriat;CremedeBresse;2339
1096;AIN;Chaveyriat;DindedeBresse;1498
1096;AIN;Chaveyriat;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1097;AIN;Chavornay;BoisduJura;1739
1097;AIN;Chavornay;Bugey;1597
1097;AIN;Chavornay;Comte;1465
1097;AIN;Chavornay;RoussetteduBugey;1884
1098;AIN;Chazey-Bons;Bugey;1597
1098;AIN;Chazey-Bons;RoussetteduBugey;1884
1100;AIN;Cheignieu-la-Balme;BoisduJura;1739
1100;AIN;Cheignieu-la-Balme;Bugey;1597
1100;AIN;Cheignieu-la-Balme;BugeyManicle;1599
1100;AIN;Cheignieu-la-Balme;RoussetteduBugey;1884
1101;AIN;Chevillard;BoisduJura;1739
1101;AIN;Chevillard;Comte;1465
1102;AIN;Chevroux;BeurredeBresse;2225
1102;AIN;Chevroux;CremedeBresse;2339
1102;AIN;Chevroux;DindedeBresse;1498
1102;AIN;Chevroux;VolailledeBresseoupouletdeBresse,poulardedeBresse,chaponde;1959
1103;AIN;Chevry;BoisduJura;1739
1104;AIN;Chezery-Forens;BleudeGexhautJuraouBleudeSeptmoncel;2222
1104;AIN;Chezery-Forens;BoisduJura;1739
1104;AIN;Chezery-Forens;Comte;1465
