"AppellationDorigineControlee","Lait","Type","AireDeProduction","AnneeDobtentionDeLAOC","CI","Departement","Commune","Aire geographique","IDA"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89480","YONNE","Vinneuf","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89467","YONNE","Villethierry","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89466","YONNE","Villeroy","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89465","YONNE","Villeperrot","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89460","YONNE","Villeneuve-la-Guyard","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89459","YONNE","Villeneuve-la-Dondagre","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89458","YONNE","Villenavotte","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89456","YONNE","Villemanoche","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89450","YONNE","Villebougis","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89449","YONNE","Villeblevin","BriedeMeaux","1459"
"BriedeMeaux","Vache","Pâte molle à croûte fleurie","Aube, Loiret, Marne, Haute-Marne, Meuse, Seine-et-Marne et Yonne","1980","89442","YONNE","Vernoy","BriedeMeaux","1459"
